Designator,Mid X,Mid Y,Layer,Rotation
C1,103.2450mm,-95.0550mm,Top,270.0
C2,99.6950mm,-95.6900mm,Top,180.0
C3,103.2450mm,-103.3100mm,Top,90.0
C4,99.6950mm,-102.6750mm,Top,180.0
D1,105.7850mm,-95.6900mm,Top,90.0
D2,122.0400mm,-88.4475mm,Top,180.0
D3,129.0250mm,-88.4475mm,Top,180.0
D4,136.0100mm,-88.4475mm,Top,180.0
D5,142.9950mm,-88.4475mm,Top,180.0
D6,149.9800mm,-88.4475mm,Top,180.0
D7,156.9650mm,-88.4475mm,Top,180.0
D8,163.9500mm,-88.4475mm,Top,180.0
D9,170.9350mm,-88.4475mm,Top,180.0
D10,177.9200mm,-88.4475mm,Top,180.0
D11,184.9050mm,-88.4475mm,Top,180.0
D12,105.7850mm,-102.6750mm,Top,90.0
D13,119.4950mm,-110.3400mm,Top,0.0
D14,126.4800mm,-110.3400mm,Top,0.0
D15,133.4650mm,-110.3400mm,Top,0.0
D16,140.4500mm,-110.3400mm,Top,0.0
D17,147.4350mm,-110.3400mm,Top,0.0
D18,154.4200mm,-110.3400mm,Top,0.0
D19,161.4050mm,-110.3400mm,Top,0.0
D20,168.3900mm,-110.3400mm,Top,0.0
D21,175.3750mm,-110.3400mm,Top,0.0
D22,182.3600mm,-110.3400mm,Top,0.0
J3,91.2075mm,-101.2100mm,Top,90.0
J4,104.0000mm,-110.0000mm,Top,180.0
J5,94.0000mm,-110.0000mm,Top,180.0
J6,90.0250mm,-88.5000mm,Top,0.0
J7,100.0250mm,-88.5000mm,Top,0.0
Q2,121.4050mm,-96.0675mm,Top,90.0
Q3,128.3900mm,-96.0675mm,Top,90.0
Q4,135.3750mm,-96.0675mm,Top,90.0
Q5,142.3600mm,-96.0675mm,Top,90.0
Q6,149.3450mm,-96.0675mm,Top,90.0
Q7,156.3300mm,-96.0675mm,Top,90.0
Q8,163.3150mm,-96.0675mm,Top,90.0
Q9,170.3000mm,-96.0675mm,Top,90.0
Q10,177.2850mm,-96.0675mm,Top,90.0
Q11,184.2700mm,-96.0675mm,Top,90.0
Q12,121.4050mm,-102.4175mm,Top,90.0
Q13,128.3900mm,-102.4175mm,Top,90.0
Q14,135.3750mm,-102.4175mm,Top,90.0
Q15,142.3600mm,-102.4175mm,Top,90.0
Q16,149.3450mm,-102.4175mm,Top,90.0
Q17,156.3300mm,-102.4175mm,Top,90.0
Q18,163.3150mm,-102.4175mm,Top,90.0
Q19,170.3000mm,-102.4175mm,Top,90.0
Q20,177.2850mm,-102.4175mm,Top,90.0
Q21,184.2700mm,-102.4175mm,Top,90.0
R1,109.0000mm,-93.2500mm,Top,90.0
R2,121.2000mm,-92.7275mm,Top,180.0
R3,118.5000mm,-93.5275mm,Top,270.0
R4,118.5000mm,-97.3375mm,Top,270.0
R5,111.5000mm,-93.1500mm,Top,90.0
R6,109.7500mm,-89.9700mm,Top,0.0
R7,125.4850mm,-93.5275mm,Top,270.0
R8,125.4850mm,-97.3375mm,Top,270.0
R9,128.1850mm,-92.7275mm,Top,180.0
R10,132.4700mm,-93.5275mm,Top,270.0
R11,132.4700mm,-97.3375mm,Top,270.0
R12,135.1700mm,-92.7275mm,Top,180.0
R13,139.4550mm,-93.5275mm,Top,270.0
R14,139.4550mm,-97.3375mm,Top,270.0
R15,142.1550mm,-92.7275mm,Top,180.0
R16,146.4400mm,-93.5275mm,Top,270.0
R17,146.4400mm,-97.3375mm,Top,270.0
R18,149.1400mm,-92.7275mm,Top,180.0
R19,153.4250mm,-93.5275mm,Top,270.0
R20,153.4250mm,-97.3375mm,Top,270.0
R21,156.1250mm,-92.7275mm,Top,180.0
R22,160.4100mm,-93.5275mm,Top,270.0
R23,160.4100mm,-97.3375mm,Top,270.0
R24,163.1100mm,-92.7275mm,Top,180.0
R25,167.3950mm,-93.5275mm,Top,270.0
R26,167.3950mm,-97.3375mm,Top,270.0
R27,170.0950mm,-92.7275mm,Top,180.0
R28,174.3800mm,-93.5275mm,Top,270.0
R29,174.3800mm,-97.3375mm,Top,270.0
R30,177.0800mm,-92.7275mm,Top,180.0
R31,181.3650mm,-93.5275mm,Top,270.0
R32,181.3650mm,-97.3375mm,Top,270.0
R33,184.0650mm,-92.7275mm,Top,180.0
R34,109.0000mm,-104.7500mm,Top,270.0
R35,109.7500mm,-107.7500mm,Top,0.0
R36,111.5000mm,-104.7500mm,Top,270.0
R37,118.5000mm,-105.3275mm,Top,90.0
R38,118.5000mm,-101.7825mm,Top,90.0
R39,121.4050mm,-105.5925mm,Top,180.0
R40,125.4850mm,-105.3275mm,Top,90.0
R41,125.4850mm,-101.7825mm,Top,90.0
R42,128.3900mm,-105.5925mm,Top,180.0
R43,132.4700mm,-105.3275mm,Top,90.0
R44,132.4700mm,-101.7825mm,Top,90.0
R45,135.3750mm,-105.5925mm,Top,180.0
R46,139.4550mm,-105.3275mm,Top,90.0
R47,139.4550mm,-101.7825mm,Top,90.0
R48,142.3600mm,-105.5925mm,Top,180.0
R49,146.4400mm,-105.3275mm,Top,90.0
R50,146.4400mm,-101.7825mm,Top,90.0
R51,149.3450mm,-105.5925mm,Top,180.0
R52,153.4250mm,-105.3275mm,Top,90.0
R53,153.4250mm,-101.7825mm,Top,90.0
R54,156.3300mm,-105.5925mm,Top,180.0
R55,160.4100mm,-105.3275mm,Top,90.0
R56,160.4100mm,-101.7825mm,Top,90.0
R57,163.3150mm,-105.5925mm,Top,180.0
R58,167.3950mm,-105.3275mm,Top,90.0
R59,167.3950mm,-101.7825mm,Top,90.0
R60,170.3000mm,-105.5925mm,Top,180.0
R61,174.3800mm,-105.3275mm,Top,90.0
R62,174.3800mm,-101.7825mm,Top,90.0
R63,177.2850mm,-105.5925mm,Top,180.0
