Designator,Mid X,Mid Y,Layer,Rotation
C1,81.3375mm,-50.7770mm,Top,0.0
C2,82.5500mm,-36.9750mm,Top,90.0
C3,88.2650mm,-36.9750mm,Top,90.0
C4,77.1500mm,-72.0300mm,Top,180.0
C5,77.1500mm,-74.5700mm,Top,180.0
C6,90.3650mm,-74.5700mm,Top,0.0
C7,90.3840mm,-72.5300mm,Top,0.0
C8,90.3840mm,-70.5300mm,Top,0.0
C9,87.9340mm,-64.2800mm,Top,90.0
C10,79.4340mm,-64.2800mm,Top,90.0
C11,83.0000mm,-81.3000mm,Top,-90.0
C12,85.0000mm,-81.3000mm,Top,-90.0
C13,91.1900mm,-67.5000mm,Top,90.0
C14,93.2500mm,-67.5000mm,Top,90.0
C15,93.9800mm,-36.9250mm,Top,90.0
C16,99.6950mm,-38.1000mm,Top,0.0
C17,95.8850mm,-42.8650mm,Top,90.0
D1,68.5800mm,-39.3700mm,Top,90.0
D2,77.4700mm,-34.9750mm,Top,-90.0
F1,80.7150mm,-45.1550mm,Top,90.0
J1,69.8500mm,-46.8650mm,Top,-90.0
J2,107.9500mm,-64.7700mm,Top,90.0
J3,107.9500mm,-53.3400mm,Top,90.0
J4,107.9500mm,-76.2000mm,Top,90.0
R1,77.1125mm,-67.8500mm,Top,0.0
R2,77.1125mm,-69.8500mm,Top,0.0
R3,88.8375mm,-52.7050mm,Top,0.0
R4,88.8375mm,-50.7050mm,Top,0.0
R5,81.3375mm,-48.7050mm,Top,0.0
R6,88.8375mm,-48.7050mm,Top,0.0
R7,85.0875mm,-60.0000mm,Top,0.0
R8,77.1840mm,-76.5300mm,Top,180.0
R9,80.0100mm,-58.7775mm,Top,90.0
R10,78.1050mm,-58.7775mm,Top,90.0
R11,76.1050mm,-58.7775mm,Top,90.0
R12,85.0000mm,-77.8000mm,Top,-90.0
R13,83.0000mm,-77.8375mm,Top,-90.0
R14,88.2650mm,-79.5750mm,Top,0.0
R15,88.2650mm,-81.5850mm,Top,0.0
R16,91.7250mm,-81.5750mm,Top,180.0
R17,91.7175mm,-79.5750mm,Top,180.0
R18,93.8250mm,-42.8725mm,Top,-90.0
R19,91.8250mm,-42.8725mm,Top,-90.0
R20,81.3375mm,-52.7050mm,Top,0.0
SW1,70.5000mm,-77.1800mm,Top,90.0
SW2,70.5000mm,-67.3350mm,Top,90.0
SW3,70.5000mm,-57.4950mm,Top,90.0
U1,86.9950mm,-43.2050mm,Top,-90.0
U2,83.7140mm,-70.7600mm,Top,0.0
U3,100.9650mm,-64.1350mm,Top,90.0
U4,85.0875mm,-50.7050mm,Top,0.0
Y1,83.6840mm,-63.2800mm,Top,0.0
